chrI	1	21384
chrI	186822	235665
chrII	1	35955
chrII	818663	835812
chrIII	1	42385
chrIII	317370	357685
chrIV	1	24908
chrIV	1476047	1477988
chrV	1	24398
chrV	551797	565208
chrVI	1	53260
chrVI	281632	296034
chrVII	1	11762
chrVII	1040228	1119193
chrVIII	1	12724
chrVIII	508279	531267
chrIX	1	24324
chrIX	420462	443128
chrX	1	34579
chrX	722460	743843
chrXI	1	9578
chrXI	664218	690553
chrXII	1	16731
chrXII	1011249	1023116
chrXIII	1	14645
chrXIII	907724	941477
chrXIV	1	19337
chrXIV	761900	778926
chrXV	1	24509
chrXV	1045515	1078405
chrXVI	1	17914
chrXVI	884180	903028
